t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,flags
995690521.995,995690531.995,995690527.337,995690521.995,995690531.925,24.1172528641,2.13911789647,4.96815409001e-15,4.40658286672e-16,16.6241804078,0.0922671486078,0.100842502078,23.0515320506,2.17762858403,4.74861560241e-15,4.4859148831e-16,16.6732505131,0.0980075179336,0.107740310152,26.7257543014,2.04179515982,5.50550538609e-15,4.20609802923e-16,16.5126750713,0.0799322424691,0.0862878815181,155.0,171.330863231,10.0,9.08373318997,6.41070262408,16.7223270088,23.554346225,0.904881386093,106.337677002,344.213623047,298.914167952,301.564149329,44.4566197134,32.0
995690531.995,995690541.995,995690536.951,995690532.025,995690541.875,22.9356527611,1.97492931513,4.72474446878e-15,4.06835438917e-16,16.6787222378,0.0896819268783,0.0977620923334,20.3022251504,2.07627401163,4.18225838099e-15,4.27712446396e-16,16.8111409006,0.105718292452,0.117133595271,23.9764474013,1.93341132505,4.93914816467e-15,3.9828273296e-16,16.6305379151,0.0842005275914,0.0912835563316,140.0,153.787540574,4.0,3.62634419057,6.41410872929,6.67576998718,23.5668610126,0.910476878883,107.226394653,344.327545166,298.019808427,301.56394022,44.456679617,32.0
995690541.995,995690551.995,995690547.349,995690542.04,995690551.975,25.2652646543,2.21787326457,5.20464451879e-15,4.56881892501e-16,16.5736903704,0.0913561636155,0.0997551869829,24.7401436764,2.23624652466,5.09646959734e-15,4.6066678408e-16,16.5964944564,0.0939540435724,0.10286120775,28.4143659273,2.10432763416,5.85335938102e-15,4.33491492636e-16,16.4461550772,0.0775699234242,0.0835412223266,168.0,182.326259118,12.0,10.9765418456,6.41669286531,20.2068156703,23.5763557027,0.921555173651,108.012245178,343.848327637,297.337954649,301.564149721,44.4567704839,32.0
995690551.995,995690561.995,995690557.122,995690552.0,995690561.985,23.4082960064,2.18861202207,4.82210897733e-15,4.50854076546e-16,16.6565754984,0.0970442684227,0.106577221939,23.3908716903,2.18923258382,4.81851956821e-15,4.50981912267e-16,16.6573839834,0.0971397596302,0.106692422374,27.0650939412,2.0542323856,5.57540935189e-15,4.23171871434e-16,16.4989761529,0.0794294613814,0.0857022164893,159.0,173.588093843,14.0,12.7402812666,6.41372589432,23.4536996044,23.5654543919,0.916113799051,109.157058716,342.978363037,296.379964871,301.563944748,44.4567545257,0.0
995690561.995,995690571.995,995690566.58,995690562.05,995690571.905,24.5753003966,2.13328961116,5.06251188169e-15,4.394576599e-16,16.6037529121,0.0903803158352,0.0985926709801,23.2259257783,2.18198294245,4.78454071033e-15,4.49488486145e-16,16.6650674154,0.0974897166701,0.107114801137,26.9001480292,2.04667990565,5.54143049401e-15,4.21616060565e-16,16.5056133253,0.0796157742776,0.0859191747759,157.0,172.746592084,9.0,8.10992748982,6.42177105854,14.9296392426,23.5950141132,0.908883514094,109.682151794,341.94909668,296.06479082,301.564237621,44.4568900401,0.0
995690571.995,995690581.995,995690576.905,995690572.165,995690581.96,26.7635838788,2.31886270696,5.51329827902e-15,4.77685717633e-16,16.5111393279,0.0902166757164,0.098397952438,26.9991920807,2.31095025124,5.56183356862e-15,4.76055751756e-16,16.5016230785,0.0891678970188,0.0971515145021,30.6734143315,2.18385212299,6.3187233523e-15,4.49873537336e-16,16.3630946974,0.0746732715788,0.0801908635818,179.0,197.277605304,15.0,13.6597027582,6.43155023996,25.1462709868,23.6309449992,0.907441977951,109.220420837,340.978881836,296.709042746,301.563985012,44.4567076087,32.0
995690581.995,995690591.995,995690586.926,995690582.075,995690591.76,28.3230836268,2.31975857236,5.83455522713e-15,4.77870265907e-16,16.4496486634,0.0854712751485,0.0927791243537,27.7740064575,2.33810663797,5.72144533024e-15,4.81649967422e-16,16.4709036697,0.0877567518465,0.0954785657867,31.4482287083,2.21243236045,6.47833511391e-15,4.55761066252e-16,16.3360095269,0.073816129197,0.0792031531303,182.0,202.046985046,12.0,10.906716546,6.42474928938,20.0782736414,23.6059567953,0.901039951353,108.019607544,340.590148926,297.963219179,301.563996029,44.4566719094,32.0
995690591.995,995690601.995,995690596.781,995690592.015,995690601.99,22.2365812536,2.14185717609,4.58073573824e-15,4.41222578274e-16,16.7123299556,0.0998446637679,0.109964926333,22.2144125983,2.14266069813,4.57616899525e-15,4.41388103815e-16,16.7134129151,0.0999756726808,0.110123884436,25.8886348492,2.00509418065,5.33305877893e-15,4.13049401213e-16,16.5472271251,0.0809935692994,0.0875260994683,149.0,166.70504644,14.0,12.7745143019,6.43931390788,23.5167195103,23.6594704406,0.893978996946,106.689537048,340.597229004,299.265295146,301.564243728,44.4566761705,32.0
995690601.995,995690611.995,995690604.03,995690602.015,995690605.965,25.4019481183,3.65567276263,5.23280131238e-15,7.53068589101e-16,16.5678324383,0.145982571221,0.168705354551,26.2483157154,3.61047815116,5.40715303737e-15,7.4375849914e-16,16.5322463972,0.139927048715,0.160666254399,29.9225379663,3.40733814084,6.16404282105e-15,7.01911657013e-16,16.3900039333,0.117088181559,0.131258805674,70.0,77.1198869154,7.0,6.32893623868,2.57731770622,11.6509962576,9.46963806373,0.907947481061,105.789230347,340.967529297,300.074673335,301.564242388,44.4565354822,36.0
995690631.995,995690641.995,995690641.085,995690640.025,995690641.905,17.7867492605,4.6700948122,3.66407034766e-15,9.62039531314e-16,16.9547585428,0.253130351621,0.330683763606,19.295905345,4.54320170826,3.97495650108e-15,9.35899551901e-16,16.8663370999,0.229562059625,0.291483854965,22.9701275959,4.21833590063,4.73184628475e-15,8.6897719553e-16,16.6770914809,0.1830531433,0.220301594135,27.0,29.6513517697,4.0,3.63464212991,1.29086578409,6.69104573915,4.74292778678,0.910697636259,111.07208252,330.126678467,297.256829294,301.563846285,44.4566908589,36.0
