t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,flags
993367097.995,993367107.995,993367102.911,993367098.045,993367107.855,27.5530776063,2.35110553117,5.67593398689e-15,4.8432773942e-16,16.4795747114,0.0889045706888,0.0968389735886,28.0282389719,2.33545749427,5.77381722822e-15,4.8110424382e-16,16.4610104708,0.0868970740628,0.0944617213388,31.6842899001,2.21135562189,6.52696371942e-15,4.5553925811e-16,16.3278900543,0.0732498273035,0.0785515065277,186.0,205.291409702,16.0,14.5402531997,6.47928075237,26.7672842995,23.6885804086,0.906164385514,163.623275757,407.028991699,236.481209588,301.563935261,44.4566802624,0.0
993367107.995,993367117.995,993367112.997,993367108.03,993367117.97,27.849460856,2.32806176803,5.73698893633e-15,4.79580724215e-16,16.46795802,0.0871669804961,0.0947807829453,27.8255734247,2.32885350775,5.73206812549e-15,4.79743822596e-16,16.4688896926,0.0872673910059,0.0948995243296,31.4816243529,2.20436864315,6.48521461669e-15,4.54099940488e-16,16.3348571688,0.0734805537969,0.0788169164936,186.0,203.960381562,14.0,12.7826745063,6.47871212985,23.5317417048,23.6865014957,0.912019856076,161.995941162,406.921539307,238.104682293,301.564016808,44.4565749329,0.0
993367117.995,993367127.995,993367122.859,993367118.07,993367127.95,28.7423216727,2.32293474707,5.92091826459e-15,4.78524557897e-16,16.4336953862,0.0843827430056,0.0914977753539,28.1949260225,2.34105029019,5.80815476063e-15,4.82256359779e-16,16.4545726014,0.0866021265543,0.0941132560153,31.8509769507,2.21725152153,6.56130125184e-15,4.56753813434e-16,16.3221931055,0.073066983258,0.0783412629504,188.0,206.355283223,12.0,10.9403963903,6.47877405903,20.140275173,23.686727912,0.911193226836,161.142303467,407.698883057,238.981739875,301.564081456,44.4566969508,0.0
993367127.995,993367137.995,993367132.032,993367128.0,993367135.96,32.3411264549,2.68978185404,6.66227204971e-15,5.54095061933e-16,16.3056121438,0.0867406392528,0.094276875933,31.2416825347,2.72897457511,6.43578660214e-15,5.62168762473e-16,16.3431639626,0.090923831872,0.0992398727542,34.8977334628,2.59635810699,7.18893309334e-15,5.3484977004e-16,16.2230069467,0.0779140359481,0.0839405170931,163.0,180.661352234,8.0,7.18951622056,5.17687924996,13.2352457697,18.9269341869,0.90232597714,160.930389404,408.827789307,239.232540793,301.56420857,44.4567260611,0.0
993367167.995,993367177.995,993367174.561,993367171.005,993367177.945,29.9584445202,2.85096186823,6.17143957116e-15,5.87298144856e-16,16.3887018487,0.0986977809621,0.108575179981,29.6567472513,2.86266669567,6.10928993376e-15,5.89709339307e-16,16.3996912102,0.100047985903,0.110211643008,33.3127981794,2.71743007116,6.86243642496e-15,5.59790594659e-16,16.2734722157,0.0851397491565,0.0923885773343,139.0,150.281483455,9.0,8.21998200735,4.51122366381,15.1322396044,16.4932634633,0.924988493781,160.75793457,427.534667969,240.821352482,301.563839468,44.4564798112,4.0
993367177.995,993367185.995,993367181.608,993367178.01,993367185.98,26.6218009711,2.58575264437,5.48409100005e-15,5.32665044741e-16,16.5169064194,0.10064437583,0.110935909311,26.8940604451,2.57552318909,5.54017645169e-15,5.30557776952e-16,16.5058590584,0.0992940581595,0.109297319424,30.5501113733,2.43399503149,6.29332294289e-15,5.01402976487e-16,16.3674680054,0.0832298124033,0.0901436653133,146.0,157.538324039,12.0,11.0039061494,5.15671848504,20.2571908659,18.8532254036,0.926840899597,161.725250244,427.078552246,239.808474335,301.564233925,44.4566747813,0.0
