t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,flags
993336631.995,993336642.995,993336637.681,993336633.14,993336642.915,23.7159445371,2.18345285176,4.88548457465e-15,4.49791287463e-16,16.642398935,0.095623083213,0.104865344577,23.5200957339,2.19042811511,4.84513972117e-15,4.51228191713e-16,16.6514022872,0.0966796007911,0.106137493117,27.1600708196,2.05692649502,5.59497458883e-15,4.23726857974e-16,16.4951727549,0.079261706521,0.085506937654,159.0,174.350923241,13.0,12.009918989,6.41938396993,22.109169048,23.3663977162,0.91204655143,96.8015365601,440.044219971,305.831404184,301.56349808,44.4565500928,32.0
993336642.995,993336653.995,993336648.816,993336643.065,993336653.865,26.5940272217,2.20250431858,5.47836960767e-15,4.53715889627e-16,16.5180397276,0.0863901810459,0.0938629807527,26.7948211408,2.19604346119,5.51973315501e-15,4.52384953006e-16,16.509872844,0.0855257630283,0.0928433374793,30.4347962265,2.07543747892,6.26956802267e-15,4.27540120658e-16,16.3715740042,0.0716242329745,0.0766849795476,197.0,215.041106691,16.0,14.7413390118,7.06563320124,27.137464999,25.7187288173,0.916233533431,97.8385772705,439.035491943,304.672438887,301.563944623,44.456521165,32.0
993336653.995,993336664.995,993336659.264,993336654.085,993336664.945,26.8704637856,2.11796070455,5.53531553984e-15,4.36299905138e-16,16.5068120939,0.0823736245332,0.0891400980025,25.6363019113,2.15881871776,5.28107819374e-15,4.44716655858e-16,16.5578615562,0.0877829642166,0.0955095979368,29.2762769971,2.03595844175,6.03091306139e-15,4.19407439e-16,16.4137103811,0.0729955655982,0.0782591638855,191.0,206.773023123,10.0,9.23012521988,7.06281823825,16.9918214275,25.7084824222,0.923838374265,97.8312911987,438.167877197,304.569721785,301.563649594,44.456506612,32.0
993336664.995,993336675.995,993336670.332,993336665.055,993336675.955,24.0973162848,2.03767666835,4.96404715467e-15,4.19761393681e-16,16.6250783051,0.0881342734744,0.0959256618921,23.0956519122,2.07212826813,4.75770429392e-15,4.26858423236e-16,16.6711744364,0.0932867166822,0.10206179444,26.735626998,1.94401393963,5.50753916158e-15,4.00466871563e-16,16.5122740662,0.0762083405778,0.0819639715379,175.0,189.139395909,11.0,10.1387688688,7.07443277554,18.6645517811,25.7507590485,0.925301836724,96.8992614746,437.458557129,305.406616164,301.563752325,44.4565084771,32.0
993336675.995,993336686.995,993336681.594,993336676.02,993336686.84,26.6679325931,2.24777520363,5.49359411419e-15,4.63041691948e-16,16.5150266282,0.0878611967128,0.0956022251045,27.5823370747,2.21886420952,5.6819614374e-15,4.57086027161e-16,16.4784223462,0.0840067731765,0.0910558574224,31.2223121605,2.09983571093,6.43179630505e-15,4.32566156451e-16,16.3438373463,0.0706698145142,0.0755918968718,205.0,221.085107147,19.0,17.5182736825,7.08099726923,32.2495492792,25.774653642,0.927322185945,95.610786438,437.413146973,306.679860603,301.56390732,44.4564677226,32.0
993336686.995,993336697.995,993336692.158,993336687.135,993336697.97,22.8750843806,2.02326932888,4.7122673824e-15,4.16793481749e-16,16.6815932381,0.0920198188696,0.100547101288,22.3253469608,2.04231998526,4.59902147392e-15,4.20717916964e-16,16.7080044574,0.095039332803,0.104163621963,25.9653220465,1.91265188063,5.34885634158e-15,3.94006287409e-16,16.5440157163,0.0771687352129,0.0830760441337,172.0,184.295853189,13.0,11.9146527418,7.0977688187,21.9337925474,25.8357016643,0.933366799787,94.7216415405,438.215301514,307.660991049,301.563639893,44.456625473,32.0
993336697.995,993336708.995,993336703.758,993336698.005,993336708.98,27.9677303146,2.19500698242,5.76135244481e-15,4.52171438378e-16,16.463356942,0.0820338210856,0.088742278798,27.4308402827,2.21218214731,5.65075309823e-15,4.55709522345e-16,16.4844022214,0.0842084279496,0.091292842656,31.0708153684,2.09297941237,6.40058796589e-15,4.31153758949e-16,16.3491183743,0.0707789219305,0.0757167518171,203.0,220.381628386,13.0,11.9559495709,7.09288204296,22.0098162555,25.8179139223,0.921297349613,93.8368606567,439.442626953,308.693357093,301.563742098,44.456719506,32.0
993336708.995,993336719.995,993336710.937,993336709.085,993336712.79,18.328464454,3.34708065803,3.77566367752e-15,6.89498615554e-16,16.922184796,0.182109866589,0.218935378995,19.9548554288,3.25140561605,4.11070021833e-15,6.69789556907e-16,16.8298785357,0.16389146891,0.193106022935,23.5948305145,3.0263380814,4.86053508599e-15,6.23425644768e-16,16.6479578448,0.131025634513,0.149036002048,56.0,60.785338379,8.0,7.36988442778,2.57621424073,13.567287242,9.37735565171,0.921425162022,93.3760986328,440.299255371,309.260807205,301.563765381,44.4566047144,36.0
993336752.995,993336763.995,993336758.958,993336754.02,993336763.91,27.8886542033,2.22747255444,5.74506276588e-15,4.58859346214e-16,16.4664311064,0.0834288974347,0.0903772662265,26.3378138927,2.28069980013,5.4255896619e-15,4.69824158826e-16,16.5285506886,0.0901683757714,0.0983404916821,29.9777889785,2.15369158486,6.17542452956e-15,4.4366046648e-16,16.3880010046,0.0753278484788,0.0809462833166,179.0,193.745745293,8.0,7.33443546795,6.46297648675,13.5020289296,23.5250733914,0.923972831116,91.4797058105,423.146118164,309.387321513,301.563890961,44.4567949783,32.0
993336763.995,993336774.995,993336769.998,993336764.055,993336774.79,21.1267773452,1.99363366067,4.35211613312e-15,4.10688534098e-16,16.7679168617,0.0979057371242,0.107617305914,21.0651393099,1.99580483813,4.33941869784e-15,4.11135796656e-16,16.771089161,0.0982818709292,0.10807199837,24.7051143956,1.86325626221,5.0892535655e-15,3.83830790015e-16,16.598032827,0.0789451307744,0.0851385983071,162.0,175.803921947,15.0,13.8321787615,7.11609422775,25.4637836291,25.9024056966,0.9215528024,92.0215301514,422.452941895,308.795842734,301.563703889,44.457041655,32.0
