t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,flags
995690521.995,995690532.995,995690527.649,995690521.995,995690532.88,23.4866192612,2.00072651644,4.8382435678e-15,4.12149662387e-16,16.6529487311,0.0887602584,0.0966677602377,22.1836353031,2.04637989607,4.56982887244e-15,4.21554258591e-16,16.7149182078,0.0958024242429,0.105081096189,25.857857554,1.914853325,5.32671865612e-15,3.9445978495e-16,16.5485186533,0.0775643359615,0.0835347411078,165.0,182.353477958,10.0,9.08373318997,7.05214952853,16.7223270088,25.9111647141,0.905032517074,106.372901917,344.222259521,298.87795011,301.564135886,44.4566114326,32.0
995690532.995,995690543.995,995690538.458,995690533.035,995690543.945,23.9168689027,1.94769198933,4.92687499396e-15,4.01224549802e-16,16.6332391925,0.0850019667395,0.0922263421203,21.6655916891,2.02795778761,4.46311188796e-15,4.17759304248e-16,16.7405736146,0.097148930284,0.106703487012,25.33981394,1.89520654468,5.22000167164e-15,3.90412548204e-16,16.5704914457,0.0783107113779,0.0844011432348,163.0,178.769632972,6.0,5.45313324643,7.05489130248,10.0387225673,25.921238601,0.911907832787,107.264717102,344.286987305,297.989740825,301.564054991,44.4567342609,32.0
995690543.995,995690554.995,995690549.729,995690544.005,995690554.975,24.6151614348,2.10516180916,5.07072325557e-15,4.33663332687e-16,16.6019932791,0.0890975481412,0.0970680014867,24.274070188,2.11660798687,5.00045845872e-15,4.36021245295e-16,16.6171434916,0.0907698682307,0.0990564656384,27.9482924388,1.98984784245,5.7573482424e-15,4.09908655545e-16,16.4641118028,0.0746738503887,0.0801915311289,182.0,197.274440677,14.0,12.7801391601,7.05855075436,23.5270743628,25.9346842405,0.922732259603,108.319206238,343.642913818,297.075422431,301.564094849,44.4567158349,0.0
995690554.995,995690565.995,995690560.649,995690555.035,995690565.89,25.2622832467,2.09471302666,5.20403034882e-15,4.31510883492e-16,16.5738184994,0.086489527562,0.0939802805429,24.4433961412,2.12222320746,5.03533960509e-15,4.37177980737e-16,16.6095961345,0.0903959981563,0.0986113350522,28.1176183921,1.99582514184,5.79222938877e-15,4.1113997922e-16,16.4575536689,0.0744547208941,0.0799388617401,181.0,198.477868118,12.0,10.9485927691,7.05884351052,20.1553639614,25.9357598917,0.912014655779,109.433784485,342.65057373,296.171710824,301.56398955,44.4568928744,0.0
995690565.995,995690576.995,995690571.747,995690566.12,995690576.99,25.543798964,2.0997084522,5.26202258658e-15,4.32539941153e-16,16.5617862812,0.0857691451684,0.093130245311,24.6832246253,2.12849558375,5.08474427282e-15,4.38470090253e-16,16.5989952614,0.0898069581395,0.0979107033304,28.3574468762,2.00270292508,5.84163405649e-15,4.12556802567e-16,16.4483321821,0.074091957339,0.0795208149245,182.0,200.493912118,12.0,10.8061619329,7.07023848069,19.89316174,25.9776275446,0.907824425633,109.565010071,341.435302734,296.280791043,301.564158257,44.456835967,0.0
995690576.995,995690587.995,995690582.752,995690577.04,995690587.935,26.4665531146,2.25559348938,5.45210994161e-15,4.64652258813e-16,16.523256539,0.0887987754706,0.0967134523567,27.5382857014,2.22172553684,5.67288685449e-15,4.5767546059e-16,16.4801577468,0.0842404739524,0.0913305120226,31.2125079523,2.10147683276,6.42977663817e-15,4.32904227549e-16,16.344178335,0.070744792619,0.075677693713,200.0,220.601326126,20.0,18.2209372131,7.06772190378,33.5430889605,25.9683810818,0.906783238259,108.639343262,340.650299072,297.343941077,301.5638836,44.4565803989,32.0
995690587.995,995690598.995,995690593.341,995690588.085,995690598.955,25.5925269431,2.08677237749,5.27206055028e-15,4.29875109763e-16,16.5597170771,0.0851048073322,0.0923474300015,24.5295856005,2.12245800502,5.0530946337e-15,4.37226349035e-16,16.6057744716,0.090100759479,0.0982600603445,28.2038078514,1.99639853023,5.80998441738e-15,4.11258097227e-16,16.4542306319,0.0742554090342,0.0797091385875,178.0,199.581835102,11.0,10.0377070214,7.07641450948,18.4785061076,26.0003196471,0.89204619953,107.051826477,340.588439941,298.91197005,301.564207398,44.4567362039,32.0
995690598.995,995690609.995,995690602.85,995690599.17,995690605.965,22.0242558551,2.61724678527,4.53699670616e-15,5.39152837765e-16,16.722746891,0.121914860011,0.137356586933,22.7884561869,2.58468124566,4.69442197451e-15,5.32444336606e-16,16.6857127382,0.116648167717,0.130705956634,26.4626784378,2.42200256015,5.45131175818e-15,4.98932527392e-16,16.5234155013,0.0950844401922,0.104217815654,108.0,119.376379484,12.0,10.8762932944,4.51112232515,20.022267201,16.5748660234,0.904943051886,105.990386963,340.834625244,299.903641405,301.564269749,44.4565166536,36.0
995690631.995,995690642.995,995690641.655,995690640.025,995690642.99,22.0124908741,3.86386885012,4.53457312006e-15,7.95956983125e-16,16.7233270277,0.17558497749,0.209563832784,21.7923376945,3.878547478,4.48922156507e-15,7.98980780468e-16,16.7342404497,0.177842559914,0.212790840291,25.4665599454,3.62579838823,5.24611134875e-15,7.46914467976e-16,16.5650742903,0.144521610741,0.166756265854,45.0,49.3325159099,4.0,3.63464212991,1.93714879496,6.69104573915,7.11751520567,0.912266860102,111.266807556,330.048614502,297.085934961,301.564046471,44.4565323737,36.0
995690642.995,995690653.995,995690648.454,995690643.075,995690653.98,27.6270951678,2.1177445891,5.69118160456e-15,4.36255385355e-16,16.4766619407,0.0801910247333,0.0865895532722,26.0548173421,2.16941674236,5.36729237247e-15,4.46899848925e-16,16.5402799178,0.0868353312755,0.0943887583177,29.729039593,2.04662836181,6.12418215615e-15,4.21605442532e-16,16.3970478015,0.0722845230224,0.0774424086333,194.0,211.000644757,9.0,8.10385739032,7.09745917277,14.9184647413,26.0776424172,0.919524421187,113.090026855,330.420837402,295.226341233,301.564135603,44.4565308074,0.0
995690653.995,995690664.995,995690659.68,995690654.005,995690664.955,29.5803091698,2.2432315792,6.09354368897e-15,4.62105705315e-16,16.4024932278,0.0793644739232,0.0856265586224,28.9751230963,2.26215559298,5.96887535784e-15,4.66004052154e-16,16.4249367758,0.0816197564302,0.0882578846276,32.6493453471,2.14469462332,6.72576514151e-15,4.41807092404e-16,16.2953138059,0.0690759509735,0.0737710523352,211.0,231.7490856,13.0,11.8335000533,7.09812350404,21.7843978254,26.0800833179,0.910599245774,114.422653198,330.348937988,293.94845032,301.564080945,44.4565475823,0.0
995690664.995,995690675.995,995690670.015,995690665.06,995690675.935,23.7579459525,1.96744609697,4.89413686622e-15,4.05293895975e-16,16.640477775,0.0863827800734,0.0938542432599,21.9526075181,2.03100948564,4.52223714873e-15,4.18387954042e-16,16.7262847178,0.0960714184653,0.105404850015,25.6268297689,1.89940591893,5.2791269324e-15,3.912776193e-16,16.5582627899,0.0776298502328,0.0836107394026,164.0,182.034704868,8.0,7.21122872808,7.10328614616,13.2752165221,26.0990520125,0.901041372246,115.224105835,329.549804688,293.360767515,301.564374519,44.4566063257,0.0
995690675.995,995690686.995,995690681.829,995690676.03,995690686.99,26.8044391924,2.16433082664,5.52171447363e-15,4.45852150287e-16,16.5094831868,0.0843083267055,0.0914102794145,26.3992500216,2.17744194686,5.43824550445e-15,4.48553041053e-16,16.5260210272,0.0860509109822,0.0934625763266,30.0734722725,2.05549449322,6.19513528813e-15,4.23431865604e-16,16.3845410638,0.071782962081,0.0768669699145,191.0,214.059503479,14.0,12.6397333525,7.11788454421,23.2686000352,26.1526897714,0.892618461261,116.118759155,328.346496582,292.784534181,301.564045728,44.456584457,0.0
995690686.995,995690697.995,995690692.516,995690687.015,995690697.965,26.2215586747,2.13139471395,5.40164108698e-15,4.39067311074e-16,16.5333537408,0.0848495006345,0.0920468694844,25.6066787251,2.15156124545,5.27497581738e-15,4.43221616562e-16,16.5591168684,0.0875966832639,0.0952891002086,29.280900976,2.02807709895,6.03186560105e-15,4.17783882384e-16,16.4135389103,0.0727111415087,0.0779323157488,184.0,208.449064167,13.0,11.8307218305,7.11894297029,21.7792833699,26.1565786641,0.882915389424,114.909370422,327.399810791,294.189487484,301.56426566,44.4566313972,0.0
995690697.995,995690708.995,995690703.519,995690698.1,995690708.98,25.3855675461,2.10233474103,5.22942691449e-15,4.33080956652e-16,16.5685328065,0.0863868023857,0.0938589919338,24.7707476996,2.12274955386,5.10277402612e-15,4.37286408095e-16,16.5951522103,0.0892704151379,0.0972732376688,28.4449699505,1.9976490396,5.8596638098e-15,4.11515702157e-16,16.4449863017,0.073691332284,0.0790594858526,182.0,202.755468791,13.0,11.8459899252,7.12799026134,21.807390544,26.1898204221,0.897779309286,113.343429565,326.725616455,295.873494347,301.564252007,44.4567072457,0.0
995690708.995,995690719.995,995690714.282,995690709.025,995690719.945,25.1527165834,2.12604239521,5.18145961617e-15,4.37964733413e-16,16.5785377568,0.0880992783328,0.0958842031196,24.9889080445,2.13144779498,5.14771505716e-15,4.39078245767e-16,16.5856318027,0.0888702614795,0.0967982643366,28.6631302953,2.00670844466,5.90460484084e-15,4.13381939601e-16,16.4366909553,0.0734696865562,0.078804412936,184.0,204.022788573,15.0,13.573161645,7.11795210332,24.9869566646,26.1529379986,0.901943735439,112.458679199,326.450408936,296.798843518,301.564258532,44.4566075651,0.0
995690719.995,995690730.995,995690723.703,995690720.015,995690726.865,21.8673433975,2.47754173309,4.50467273988e-15,5.10373597017e-16,16.7305099375,0.116529261712,0.130556645637,21.1410227444,2.50974038794,4.35505068535e-15,5.17006519915e-16,16.7671850164,0.121797912762,0.13720811461,24.8152449953,2.34231834187,5.11194046903e-15,4.82517578425e-16,16.5932035819,0.0979305845767,0.10764733223,102.0,112.239389566,8.0,7.24281460888,4.52300146895,13.3333632572,16.6185126379,0.908838914064,111.433128357,326.861602783,297.691223514,301.56421522,44.4566777396,36.0
995690752.995,995690763.995,995690761.881,995690760.02,995690763.845,22.6077326819,3.39742145538,4.65719293248e-15,6.99868819809e-16,16.6943574766,0.152006057265,0.176806521063,22.6116957776,3.39719677401,4.65800933019e-15,6.99822535447e-16,16.6941671656,0.151971816904,0.176760171328,26.2859180285,3.1820745958,5.41489911387e-15,6.55507366735e-16,16.5306921269,0.124068508114,0.140097291024,61.0,68.2378894132,6.0,5.18685018245,2.59598654075,9.54851965405,9.53823151096,0.893987793987,123.980743408,320.554229736,287.225104095,301.56447851,44.4566543091,4.0
995690763.995,995690774.995,995690769.511,995690763.995,995690774.96,24.2415868343,2.02683799945,4.99376688788e-15,4.17528627886e-16,16.6185973875,0.0871824661063,0.0947990940349,23.0993773384,2.0659592573,4.7584717317e-15,4.25587607004e-16,16.6709993167,0.0930061757893,0.101726047301,26.7735995892,1.93730063004,5.51536151538e-15,3.99083929789e-16,16.5107330899,0.0758501145203,0.0815497128734,171.0,190.993896384,11.0,9.81174542097,7.13366522672,18.0625313431,26.2106715062,0.895393977235,123.889129639,321.167999268,287.144035409,301.564394327,44.4566069921,0.0
